,album,artist,name,release_date,popularity,acousticness,danceability,energy,instrumentalness,key,length,liveness,loudness,mode,speechiness,tempo,time_signature,valence,class,feels
707,I AM...SASHA FIERCE,Beyoncé,If I Were a Boy,2008-11-14,64,-0.25490180936300844,-0.22172646067633858,-1.0525872012854147,-0.1569831916357758,0.2071369800275765,0.5929197527045733,1.331923547999216,-0.17249601859254304,0.8205599011451459,-0.7170590096685827,-1.1068326753873843,0.07684638870544681,-0.47769244257226345,1,positive
708,Viva La Vida or Death and All His Friends,Coldplay,Viva La Vida,2008-05-26,83,-0.3118022422552757,-1.2730720333664378,-0.44479829436991675,-0.15694324149246722,-0.06807318592455565,0.42708154656263925,-0.4866666431278041,-0.660436502403651,-1.2186800727216054,-0.7447712714118729,0.648714713803442,0.07684638870544681,-0.5217296860531213,0,dance
709,Graduation,Kanye West,Flashing Lights,2007-09-11,81,-0.5928707599041477,-0.17131948116379953,-0.377266193601528,-0.1569831916357758,0.2071369800275765,0.30791211657699136,1.5694536954117249,-0.8888656672211871,-1.2186800727216054,-0.6253953746715459,-1.0894629659667536,0.07684638870544681,-0.4644812695280061,0,dance
710,Only By The Night,Kings of Leon,Sex on Fire,2008-09-23,78,-0.771322289957655,-0.8698161972661255,1.32331488938426,-0.028351151261458298,1.0327674778839728,-0.5285020458042972,-0.2862505812484998,0.06086682149103078,0.8205599011451459,-0.4751096475252413,1.2112373243667338,0.07684638870544681,-0.7110898330208101,1,positive
711,"Rise And Fall, Rage And Grace",The Offspring,"You're Gonna Go Far, Kid",2008-06-17,78,-0.7587649530434993,-0.8122082206803665,1.3969862720406838,-0.1569831916357758,-1.4441240156852164,-1.1533641483795456,0.166541262256595,1.2913254328407815,0.8205599011451459,-0.3706557378774552,0.2135577830550079,0.07684638870544681,0.28855559399466324,1,positive
712,Good Girl Gone Bad: Reloaded,Rihanna,Don't Stop The Music,2008-06-02,79,-0.6149442036985617,1.240075945187292,-0.12555563619207907,-0.15612729382866974,0.2071369800275765,1.0320371879547499,-0.8986329925463741,0.09589591587989685,-1.2186800727216054,-0.3653264567729763,0.08750854437518871,0.07684638870544681,0.028735857457602137,0,dance
713,Forever,Chris Brown,Forever,2008-04-29,75,-0.5992475325558673,0.06631342225245593,0.8014759289012559,-0.15465792013670157,1.5831878097882373,1.313445500842576,0.07004463987026324,0.6514277508357184,0.8205599011451459,-0.5614440014177993,-0.009871531808263872,0.07684638870544681,-0.42925147474331976,1,positive
714,Shine,Estelle,American Boy,2008-03-28,75,0.059031613490880104,0.21753436079007224,0.24280127709004062,-0.1569831916357758,-1.4441240156852164,1.4642742842228085,-0.7761565102867991,1.374704544836815,0.8205599011451459,2.978264508177077,-0.08874829648258081,0.07684638870544681,-0.06374235385219945,3,driving
715,Graduation,Kanye West,Homecoming,2007-09-11,77,0.8732964290181533,0.030308436886356618,0.35330835107467673,-0.1569831916357758,-1.1689138497330842,-0.5249027225645416,-0.4421297404879587,-0.6328079209138411,0.8205599011451459,0.9637962506840578,-1.2198272061447508,0.07684638870544681,1.6845362123378578,1,positive
716,Funhouse (Expanded Edition),P!nk,So What,2008-10-24,74,-0.7781209106463344,-0.9274241738518844,1.108440023303023,-0.1569831916357758,1.5831878097882373,-0.2392339862500658,0.49314521494879443,1.3312882024956851,-1.2186800727216054,-0.5976831129282557,0.21004727336157555,0.07684638870544681,-0.3235620903892608,0,dance
717,Good Girl Gone Bad: Reloaded,Rihanna,Disturbia,2008-06-02,78,-0.35643965081731294,0.3183483198151503,0.7585009556850085,-0.1569831916357758,1.5831878097882373,0.3353355317370336,-0.04872043383599104,0.6223190667660975,-1.2186800727216054,-0.44206810467747226,0.16989581874293852,0.07684638870544681,0.8214062401130433,0,dance
718,Oracular Spectacular,MGMT,Kids,2007-12-14,74,-0.7760312913004632,-1.5251069309291325,1.4829362184731787,-0.09637771107479927,1.0327674778839728,1.9076276577075273,1.3838832677457023,0.9400477538989119,0.8205599011451459,-0.28432138398489715,0.09822291250201962,0.07684638870544681,-1.600642151334139,1,positive
719,Kala,M.I.A.,Paper Planes,2007-08-20,74,-0.6178873295378169,-1.553910919222012,0.9733758217662454,-0.15606050411539846,-0.893703683780952,-0.4831064996375844,3.529077411564922,-0.1966710273961265,0.8205599011451459,1.3155288035796644,1.9007233688425091,0.07684638870544681,-0.2222764303832879,1,positive
720,Paper Trail,T.I.,Live Your Life,2008-09-07,74,-0.4314893597183207,-2.0723827084938415,1.0593257681987402,-0.1569831916357758,1.5831878097882373,2.7894128810634213,0.2704607017495675,1.1906784574136167,-1.2186800727216054,1.667261356475271,1.4468437197291009,0.07684638870544681,-0.2531025008198884,3,driving
721,Only By The Night,Kings of Leon,Use Somebody,2008-09-23,74,-0.7526824929757053,-2.785281418742607,0.15685133065754586,-0.15182554155538247,-1.4441240156852164,0.14273501062195118,0.19623253068315863,0.20739697689234418,0.8205599011451459,-0.5902221193819852,0.6126222860178367,0.07684638870544681,-1.596238426986053,1,positive
722,Circus (Deluxe Version),Britney Spears,Womanizer,2008-12-02,74,-0.42167894025413666,0.44076527005988797,0.03406569289683908,-0.1569831916357758,1.5831878097882373,-0.012990811179717284,-0.6358652669712861,0.27153475535083155,0.8205599011451459,-0.38770943741178765,0.6847340059704348,0.07684638870544681,-1.3232075174047344,1,positive
723,souljaboytellem.com,Soulja Boy,Crank That (Soulja Boy),2007-01-01,72,1.7464237613305305,0.5271772349385263,0.31033337785842935,-0.1569831916357758,-1.4441240156852164,-0.07339578010813178,-0.948365867160868,1.774332241385852,0.8205599011451459,-0.21290901718488012,0.726457876389255,0.07684638870544681,1.1781079123079923,1,positive
724,Day & Age (Bonus Tracks),The Killers,Human,2008-11-18,72,-0.7732843738504918,-0.7618012411678274,0.6786902911405498,-0.14214103313104684,1.307977643836105,0.500537122884181,-0.6232464778899967,-1.3324030736379577,0.8205599011451459,-0.41009241805059893,0.555649639118168,0.07684638870544681,0.20488483138103325,1,positive
725,Them Vs. You Vs. Me (Deluxe Edition),Finger Eleven,Paralyzer,2007-01-01,72,-0.009641322758408058,-0.13531449579770022,1.5320504735774607,-0.1569831916357758,1.5831878097882373,-0.41195253137411764,0.4337626780956674,1.1299942516413553,-1.2186800727216054,-0.5646415700804867,-0.520870099058568,0.07684638870544681,1.4335239244969677,0,dance
726,Cage The Elephant (Expanded Edition),Cage The Elephant,Ain't No Rest for the Wicked,2009-03-24,72,-0.5649110644312232,-0.19292247238345914,0.9795151036542807,-0.1569831916357758,-1.4441240156852164,-1.2104881015655977,1.465534255918752,-0.640701801339501,0.8205599011451459,0.07913558734056277,1.3077032053175213,0.07684638870544681,1.6801324879897719,1,positive
727,Graduation,Kanye West,Good Life,2007-09-11,71,-0.7647983610139726,-1.6115188958077709,0.7278045462448325,-0.1569831916357758,-1.1689138497330842,-0.43903315384465935,1.9628630020636926,-0.5449885011783737,0.8205599011451459,2.6371905174904278,-1.3644528919523187,0.07684638870544681,-0.2134689816871163,3,driving
728,Paper Trail,T.I.,Whatever You Like,2008-09-07,71,-0.7007853740101718,0.12392139883821483,-0.015048562207442964,-0.1569831916357758,1.0327674778839728,0.6023955220500522,0.6416015570816125,-0.1902572495502778,-1.2186800727216054,-0.2949799461938549,1.0889180022361864,0.07684638870544681,-0.30154346864883186,0,dance
729,Infinity 2008,Guru Josh Project,Infinity 2008 - Klaas Vocal Edit,2008-05-07,71,-0.7782239200507083,-1.1866600684877995,1.0593257681987402,-0.04059593202785967,0.4823471459797086,-0.7991123889728569,1.317077913785934,-0.12019906077254523,-1.2186800727216054,-0.42288269270134826,0.2837314091143562,0.07684638870544681,-0.28833229560457474,0,dance
730,Not 4 Sale,Kardinal Offishall,Dangerous,2008-01-01,71,-0.758323484167611,2.0609896115343553,0.6172974722601964,-0.1569831916357758,0.7575573119318407,0.5171870535170637,-0.6900518318497647,-0.08911690659650916,0.8205599011451459,-0.24488470381175345,-0.11968466315595704,0.07684638870544681,1.1957228097003354,1,positive
731,Good Girl Gone Bad: Reloaded,Rihanna,Hate That I Love You,2008-06-02,70,0.8046234927688651,-0.18572147531023928,0.248940558978076,-0.1569831916357758,-0.06807318592455565,-0.14653304893228014,-0.5675753495901898,0.1955561562538542,-1.2186800727216054,-0.1191136697460517,-0.9656809314639424,0.07684638870544681,0.8654434835939012,0,dance
732,Celebration (double disc version),Madonna,4 Minutes (feat. Justin Timberlake & Timbaland),2009-09-18,70,-0.7310014659598586,0.6495941851832641,1.4829362184731787,-0.07089867230834793,-0.893703683780952,-0.8627983736436335,0.44118549520230826,0.4215184834383715,0.8205599011451459,-0.35573375078491437,-0.26496856953104353,0.07684638870544681,1.019573835776904,1,positive
733,Where the Light Is: John Mayer Live In Los Angeles,John Mayer,"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007",2008,70,3.002157452746084,-2.5044425328870332,-2.4155077804292593,-0.1569831916357758,-0.06807318592455565,0.9461676192348675,3.915063901110248,-3.6931666884368983,0.8205599011451459,-0.7149272972267912,1.9466525373315875,0.07684638870544681,-0.44246264778757716,2,study
734,Little Voice,Sara Bareilles,Love Song,2007-07-03,70,-0.6777308882693395,-0.5745753172641118,0.592740344708055,-0.1569831916357758,-0.893703683780952,0.8299364123020813,0.09973590829682685,1.2997126807930452,-1.2186800727216054,-0.729849284319332,0.10166028657683948,0.07684638870544681,0.16525131224826115,0,dance
735,Jordin Sparks,Jordin Sparks,No Air (feat. Chris Brown),2007-11-20,70,-0.5241978236548596,-1.4170919748308346,0.4269797337311008,-0.1569831916357758,0.7575573119318407,0.965755772920612,-0.8600343435918413,0.3938899019485615,-1.2186800727216054,1.0703818727736356,1.4538647391159656,0.07684638870544681,-0.9136611530327562,0,dance
736,Here I Stand,Usher,Love in This Club (feat. Young Jeezy),2008-05-27,69,-0.49918125402119035,-0.6465852879963104,0.13843348499343985,-0.1569831916357758,-1.4441240156852164,0.8518261740459007,-0.05614325094263194,-0.09849088960198045,0.8205599011451459,-0.2704652531132521,0.7217406289887051,0.07684638870544681,-0.8343941147672121,1,positive
737,Rock n Roll Jesus,Kid Rock,All Summer Long,2007-10-09,69,-0.6757688043765027,0.2679413403026113,1.0716043319748108,-0.1569831916357758,0.4823471459797086,1.7789824583764005,-0.5861323923567922,1.0594426953370193,0.8205599011451459,-0.749034696295456,-0.6318168324947656,0.07684638870544681,1.5480207575471983,1,positive
738,Tha Carter III,Lil Wayne,Lollipop,2008-06-10,69,-0.5050675056997008,1.1968699627479729,-1.605122571208595,-0.10590142944866701,-1.4441240156852164,1.821758088987645,-0.2788277641418589,-1.8218236600288766,0.8205599011451459,-0.16494548724457025,1.016586875427749,0.07684638870544681,-0.3764067825662903,2,study
739,"For Emma, Forever Ago",Bon Iver,Skinny Love,2008-02-19,69,3.365142972920893,-0.5097663436051331,-2.6181040827344253,-0.15691293875218673,-0.3432833518766878,0.3327401013736725,-0.35305593520826795,-4.0715795813419735,-1.2186800727216054,-0.44526567334015954,-1.605654162138594,0.07684638870544681,-1.8780767852635434,2,study
740,Exclusive (Expanded Edition),Chris Brown,Kiss Kiss (feat. T-Pain),2007-11-06,69,-0.5315556382529976,0.47677025542598733,-0.19308773696046783,-0.1569831916357758,1.307977643836105,0.6301372447074878,-0.7813524822614478,1.1793310043017302,-1.2186800727216054,1.3475044902065376,0.7228742310772096,-4.625321828298076,0.06836937659037425,0,dance
741,19,Adele,Chasing Pavements,2008-01-28,69,0.6476567813419207,-0.3369424138478564,-1.347272731911111,-0.1569831916357758,-0.06807318592455565,-0.3531880703168842,-0.47182100891452233,-0.1557215226880152,-1.2186800727216054,-0.7810103829223294,-1.471669708839244,0.07684638870544681,-0.9268723260770135,2,study
742,Doll Domination (Deluxe),The Pussycat Dolls,When I Grow Up,2008-09-23,69,-0.7716656546389012,0.05911242517923607,-0.027327125983513643,-0.1569831916357758,1.5831878097882373,0.5080540768610854,1.6585275006914157,0.007089761091222107,-1.2186800727216054,-0.5177438963610724,-0.06677104308931957,0.07684638870544681,-0.7375121791093248,0,dance
743,One Of The Boys,Katy Perry,Hot N Cold,2008-06-17,68,-0.7793692865231518,0.31114732274193047,0.930400848549998,-0.1569831916357758,0.4823471459797086,-0.11519200303508902,-0.7850638908147682,0.8981115141375933,0.8205599011451459,-0.6051441064745262,0.42992951072210817,0.07684638870544681,1.4335239244969677,1,positive
744,Meet Miley Cyrus,Miley Cyrus,See You Again,2007-06-26,68,-0.706181104715473,0.21033336371685238,1.3601505807124719,-0.15602958295184693,1.0327674778839728,-0.8441896276421763,-0.46439819180788144,0.33468579875611154,-1.2186800727216054,0.8358935041765645,0.6838198107377698,0.07684638870544681,1.164896739263735,0,dance
745,A Little Bit Longer,Jonas Brothers,Burnin' Up,2008-08-12,67,-0.6345650426269297,0.030308436886356618,1.6241397018979908,-0.1569831916357758,-0.893703683780952,-1.22028217840847,1.1611987545464755,1.1418350722798454,0.8205599011451459,-0.17986747433711112,-0.22836419241514566,0.07684638870544681,1.1957228097003354,1,positive
746,Saving Abel,Saving Abel,Addicted,2008-01-01,66,-0.7757320735068057,-1.0858461094627212,1.0716043319748108,-0.1569831916357758,0.4823471459797086,-0.05153050355641951,-0.5668330678795259,0.8043716840828808,0.8205599011451459,-0.6904126041461883,0.6488244172313623,0.07684638870544681,-0.03732000776368471,1,positive
747,Tha Carter III,Lil Wayne,A Milli,2008-06-10,67,-0.5899276340648925,0.08071541639889565,0.03406569289683908,-0.13199889148614874,0.2071369800275765,-0.07567290297409957,0.1442728109366723,-1.4108485103679533,-1.2186800727216054,1.9124082872813,1.1413196729725312,0.07684638870544681,1.0459961818654187,3,driving
748,E=MC2,Mariah Carey,Touch My Body,2008-04-15,66,-0.29120036138048927,0.36875529932768936,-0.15011276374422045,-0.1569831916357758,-0.3432833518766878,-0.4945410843516377,0.38180295834918104,-0.9668177364245792,-1.2186800727216054,-0.5081511903730104,-1.5270699399387295,0.07684638870544681,1.3498531618833376,0,dance
749,Pocketful Of Sunshine,Natasha Bedingfield,Pocketful of Sunshine,2007-04-27,66,0.15713580813272018,0.4191622788402284,1.1698328421833764,-0.1569831916357758,1.0327674778839728,-0.5392755303314566,-0.724939072250977,0.9277135657338182,-1.2186800727216054,-0.5667732825222781,-0.3749645399252695,0.07684638870544681,0.5263567087912959,0,dance
750,Pjanoo,Eric Prydz,Pjanoo - Radio Edit,2008-08-29,66,-0.7769976176176853,-0.41615338165327487,1.1329971508551642,9.886210729897474,0.4823471459797086,-1.6527151562133862,-0.46439819180788144,0.4081975602200702,-1.2186800727216054,-0.7362444216447067,0.208986806891684,0.07684638870544681,1.323430815794823,0,dance
751,Vampire Weekend,Vampire Weekend,A-Punk,2008-01-29,65,-0.7292355904563055,-0.8050072236071466,0.7953366470132206,0.3835187472447698,-0.893703683780952,-2.1343878553458424,-0.16006269043560462,0.6351466224577949,0.8205599011451459,-0.491097490838678,1.9981400128352684,0.07684638870544681,1.3674680592756807,1,positive
752,The Recession,Jeezy,Put On,2008-01-01,65,-0.7629834334130985,-0.06330452506550159,0.4945118344994896,-0.1569831916357758,1.0327674778839728,2.35945290766133,-0.6373498303926144,-0.15522815516141172,-1.2186800727216054,-0.6744247608327517,0.6341241578901131,0.07684638870544681,-1.1602697165255602,0,dance
753,Metro Station,Metro Station,Shake It,2007-09-18,65,-0.7689187371889299,-0.32254041970141667,1.630278983786026,-0.1569449730776261,-0.3432833518766878,-1.1014555411123226,2.3117354060758144,0.9573156173300432,0.8205599011451459,-0.20011874253413087,1.088223213859361,0.07684638870544681,1.120859495782877,1,positive
754,David Archuleta,David Archuleta,Crush,2008-11-11,64,-0.738751697336564,-0.66818827921597,-0.15625204563225578,-0.1568347700507285,-1.4441240156852164,-0.27938970130584195,-0.7620531577841815,0.5221654588655362,-1.2186800727216054,-0.7074663036805209,1.5288653160037846,0.07684638870544681,-0.2134689816871163,0,dance
755,Tongue N' Cheek (Dirtee Deluxe Edition),Dizzee Rascal,Dance Wiv Me - Radio Edit,2011-01-01,64,-0.5462712674492736,1.549718819335746,0.3471690691866414,-0.1569831916357758,1.5831878097882373,-0.5102116073002333,-0.15263987332896373,0.7377670679913748,0.8205599011451459,-0.5699708511849655,-0.3027431165447522,0.07684638870544681,1.1296669444790486,1,positive
756,Minutes to Midnight,Linkin Park,Shadow of the Day,2007-05-14,64,-0.7562632960801325,-0.9274241738518844,-1.8199974372898315,-0.024640611635276064,1.5831878097882373,1.6020524602099135,-0.5015122773410859,-1.0048070359730679,0.8205599011451459,-0.739441990307394,-0.37547648925556165,0.07684638870544681,-2.0758040084925953,2,study
757,Coco,Colbie Caillat,Bubbly,2007-01-01,64,2.178082217754627,0.2463383490829517,-1.3227156043589696,-0.1569831916357758,1.0327674778839728,-0.7015144132336352,-0.4792438260211632,-0.43743438037875637,0.8205599011451459,-0.6765564732745432,0.2789775939044995,0.07684638870544681,-1.2615553765315333,2,study
758,Now You're Gone - The Album,Basshunter,All I Ever Wanted - Radio Edit,2008-01-15,64,0.024695145366236022,-0.12811349872448036,1.8083181585390509,-0.07028024903731755,-0.3432833518766878,-1.1869823171427045,-0.07841170226255466,-0.628860980701011,0.8205599011451459,-0.5092170465939062,0.9024587425818786,0.07684638870544681,0.07717682528654583,1,positive
759,The Real Testament,Plies,Hypnotized (feat. Akon),2007-08-06,64,0.005074306437867977,1.2760809305533913,-0.7272052612195424,-0.1569831916357758,1.307977643836105,-0.8921806041722503,1.7179100375445429,-0.8114069655443984,0.8205599011451459,-0.20118459875502667,-0.13475060059027227,0.07684638870544681,0.3590151835640359,1,positive
760,Freedom,Akon,Right Now (Na Na Na),2008-01-01,64,0.5299317477717128,1.2184729539676324,1.108440023303023,-0.1569831916357758,0.7575573119318407,0.3872441390042564,1.762446940184388,0.7777298376462782,-1.2186800727216054,0.7293078820869869,0.648275900091763,0.07684638870544681,0.1344252418116606,0,dance
761,Trey Day,Trey Songz,Can't Help but Wait,2007-10-01,63,0.9763058333920853,0.26074034322939144,0.058622820448980435,-0.1569831916357758,0.7575573119318407,-0.4534059616115743,-0.6187927876260121,0.10477653135876423,-1.2186800727216054,-0.2651359720087732,-0.9250906631336263,0.07684638870544681,0.33259283747552115,0,dance
762,A Twist in My Story,Secondhand Serenade,Fall for You,2008-05-13,64,0.08846287188343203,-1.9211617699562247,-1.4639190877837822,-0.1569831916357758,-1.4441240156852164,-1.0119866491526848,-0.5312035457676496,-0.6574762972440285,0.8205599011451459,-0.6648320548446897,1.8007104103889828,0.07684638870544681,-0.7815494225901827,2,study
763,Spirit,Leona Lewis,Better in Time,2007,63,1.7317081321342545,-0.567374320190892,0.06476210233701578,-0.15668263792605502,0.2071369800275765,0.2263029712837585,-0.3307874838883452,0.752568093789487,0.8205599011451459,-0.5113487590356978,1.5972105515978032,0.07684638870544681,0.05956192789420267,1,positive
764,Viva La Vida or Death and All His Friends,Coldplay,Violet Hill,2008-05-26,63,-0.47857937314640386,-2.396427576788735,-0.6719517242272244,-0.14102787124319216,-1.1689138497330842,-0.055766441790961754,-0.4421297404879587,-1.0353958226225004,-1.2186800727216054,-0.6520417801939403,-1.6156371740792932,0.07684638870544681,-1.8736730609154577,2,study
765,Year Of The Gentleman (Bonus Track Edition),Ne-Yo,Closer,2008-01-01,63,-0.6424133781982769,0.3471523081080298,0.3901440424028888,-0.1566170850593258,-0.3432833518766878,0.23088170220780127,-0.16748550754224553,-0.33777414000479905,-1.2186800727216054,-0.23422614160279567,0.21121744325938632,0.07684638870544681,0.231307177469548,0,dance
766,Now You're Gone - The Album,Basshunter,Now You're Gone (feat. DJ Mental Theo's Bazzheadz) - Video Edit,2008-01-15,63,-0.6752782834032934,-0.17131948116379953,1.7592039034347682,-0.1569831916357758,-1.1689138497330842,-1.8791052424363779,-0.6603605634232012,0.13487195048159292,0.8205599011451459,2.72245901516209,1.0134786116366894,0.07684638870544681,-0.7991643199825259,3,driving
767,The Script,The Script,The Man Who Can't Be Moved,2008-07-14,63,1.349101773031078,-0.41615338165327487,-0.37112691171349266,-0.1569831916357758,1.307977643836105,0.40259635445545866,-0.5757404484074949,0.3578740725064876,0.8205599011451459,-0.7543639773999349,-0.7453233125824245,0.07684638870544681,-1.001735639994472,2,study
768,808s & Heartbreak,Kanye West,Love Lockdown,2008-11-24,63,-0.5138968832174664,0.7000011646958031,-1.0157515099572028,6.02724951866795,-1.1689138497330842,1.1110264176925142,-0.46439819180788144,-0.9342554796687318,-1.2186800727216054,-0.7064004474596249,-0.024571791149513543,0.07684638870544681,-1.8648656122192862,2,study
769,Sean Kingston,Sean Kingston,Take You There,2008-03-11,62,-0.6904844335727787,0.6423931881100442,1.4215433995928253,-0.1569831916357758,-0.06807318592455565,0.28800565539385353,0.604487471548408,0.7180323669272248,-1.2186800727216054,-0.30883607706550015,-0.19168667968063474,0.07684638870544681,0.4338784974814943,0,dance
770,All I Feel,Ray J,Sexy Can I,2008-04-08,62,0.6721828300023809,-0.6321832938498707,-0.021187844095478303,-0.1569831916357758,-1.1689138497330842,-0.5115093224819138,3.284124447045772,-0.11427865045330045,0.8205599011451459,2.3494093378485683,1.8975785372421428,0.07684638870544681,1.719766007122544,3,driving
771,Doll Domination (Deluxe),The Pussycat Dolls,I Hate This Part,2008-09-23,62,-0.4565059293519899,0.6711971764029236,-0.47549470381009346,-0.1569831916357758,-0.06807318592455565,-0.15990196382280075,0.7380981794679443,0.693363990597037,0.8205599011451459,-0.7127955847849997,-0.3182478676907466,0.07684638870544681,-0.3675993338701187,1,positive
772,Love/Hate,The-Dream,I Luv Your Girl,2007-01-01,62,-0.711086314447565,0.4335642729866681,-2.2558864513403405,-0.1569831916357758,0.7575573119318407,1.0512825489509936,-0.41243847206139517,-1.9367782937275504,0.8205599011451459,-0.6872150354835009,-1.1047848780662153,0.07684638870544681,-2.1792915306726113,2,study
773,Blackout,Britney Spears,Piece of Me,2007-10-25,62,-0.33730933286215414,0.7648101383547818,-0.3158733747211746,-0.1569831916357758,1.5831878097882373,-0.3140117629453953,-0.6596182817125371,0.35639396992667627,0.8205599011451459,1.2515774303259177,-0.192637442722606,0.07684638870544681,1.0856297009981908,3,driving
774,All Rebel Rockers,Michael Franti & Spearhead,Say Hey (I Love You) (feat. Cherine Tanya Anderson),2008-09-09,61,-0.5953233647701938,0.541579229084966,1.8021788766510156,-0.15690922821256056,-0.06807318592455565,0.2651609711578541,0.06262182276362233,0.6918838880172261,-1.2186800727216054,-0.14256250660575887,-0.9974583577513702,0.07684638870544681,1.856281461913203,0,dance
775,Lupe Fiasco's The Cool,Lupe Fiasco,Superstar (feat. Matthew Santos),2007-01-01,61,0.23561916384619225,-0.6537862850695303,0.8137544926773266,-0.1569831916357758,1.5831878097882373,1.568752598944148,1.3690376335324204,-0.11773222313952654,-1.2186800727216054,2.7970689506247948,-0.9311243516692141,0.07684638870544681,-0.2795248469084032,3,driving
776,Overcome,Alexandra Burke,Hallelujah,2009,61,2.4282479140913193,-3.498180128991373,-1.623540416872701,-0.1569831916357758,-0.893703683780952,-0.1739564640923224,0.15169562804331319,-0.2144322583538617,-1.2186800727216054,-0.7405078465282898,2.278030025267917,-4.625321828298076,-1.9432519056152129,2,study
777,Jordin Sparks,Jordin Sparks,One Step At a Time,2007-11-20,60,-0.37507944779926256,0.7432071471351223,0.015647847232733055,-0.1569831916357758,-1.1689138497330842,-0.4840859073218716,-1.0107175308566516,0.5448603650893088,0.8205599011451459,-0.7426395589700815,-0.6672510397128522,0.07684638870544681,0.6848907853223839,1,positive
778,3 Doors Down,3 Doors Down,It's Not My Time,2008-01-01,60,-0.7732353217531708,-0.9418261679983241,1.50749334602532,-0.15687966758020527,-1.4441240156852164,0.4169691622223737,-0.5089350944477269,0.48269605673723626,0.8205599011451459,-0.390907006074475,0.28340229883059737,0.07684638870544681,-0.9973319156463861,1,positive
779,The Dutchess,Fergie,Clumsy,2006-09-13,60,0.15713580813272018,0.49117224957242706,-0.7763195163238251,-0.15175133076285882,-0.893703683780952,0.37940887752995867,0.9014001558140438,0.8537084367432556,0.8205599011451459,0.34559964256450715,2.3304316960042617,0.07684638870544681,-0.3675993338701187,1,positive
780,This Is Alphabeat,Alphabeat,Fascination,2008-01-01,60,-0.7784348440691884,-1.208263059707459,1.1575542784073056,-0.155867556054837,0.2071369800275765,-1.0482247334713122,-0.7761565102867991,1.2385351074941802,-1.2186800727216054,-0.6658979110655855,2.6940254239396975,0.07684638870544681,1.2749898479658792,0,dance
781,Definition of Real,Plies,"Bust It Baby, Pt. 2 (feat. Ne-Yo)",2008-06-10,60,-0.02435695195468409,-0.10651050750482077,0.6848295730285852,-0.1569831916357758,-0.06807318592455565,0.38758693169375696,1.2205812913996028,-0.7221074432291198,-1.2186800727216054,0.7293078820869869,-1.511309214127589,0.07684638870544681,1.1957228097003354,0,dance
782,Say,John Mayer,Say,2006-10-13,59,1.8739592143649229,-1.2802730304396577,0.2059655857618286,-0.15696933895450468,1.307977643836105,0.12934161053932342,-0.7390424247535947,-0.38908436277158903,0.8205599011451459,-0.7127955847849997,1.7395324654190558,0.07684638870544681,0.02433213310951635,2,study
783,Departure - Recharged,Jesse McCartney,Leavin',2008,59,-0.6409418152786494,0.17432837835075388,0.12615492121736918,-0.15693730462906533,1.0327674778839728,-0.19711945582571522,-0.7843216091041042,-0.031392905983870484,0.8205599011451459,-0.49429505950136526,-1.500741117237984,0.07684638870544681,1.5436170331991124,1,positive
784,Spirit,Leona Lewis,Run,2007,59,1.3196705146385257,-2.720472445083629,-1.3963869870153935,-0.15691380454476617,-0.06807318592455565,2.1985117399408325,-0.3901700207414725,-0.19223071965669303,-1.2186800727216054,-0.7405078465282898,0.8077846842871143,0.07684638870544681,-1.9516189818765761,2,study
785,Growing Pains,Mary J. Blige,Just Fine,2007-01-01,59,-0.5864939872524282,1.8737636876306398,0.6479938817003731,-0.14999500867313256,1.5831878097882373,0.4212051004569159,-0.5460491799809313,1.0688166783424906,-1.2186800727216054,0.19637977163909837,0.10041698106041516,0.07684638870544681,0.231307177469548,0,dance
786,Blackout,Britney Spears,Break the Ice,2007-10-25,58,2.5999302547145393,0.35435330518124963,1.3601505807124719,-0.1568839965431025,-0.06807318592455565,-0.7070725518419652,-0.5015122773410859,0.9425145915319306,-1.2186800727216054,-0.5763659885103402,-0.10026715641415693,0.07684638870544681,1.385082956668024,0,dance
787,Colby O,Colby O'Donis,What You Got,2008-01-01,58,-0.6193588924574445,0.808016120794101,-0.2974555290570686,-0.1569831916357758,-1.1689138497330842,0.4427520695112348,0.04035337144369962,-0.4645695943419625,0.8205599011451459,-0.6456466428685657,-0.011005133896767893,0.07684638870544681,-1.0149468130387294,1,positive
788,Three Ringz (Thr33 Ringz) [Expanded Edition],T-Pain,Can't Believe It (feat. Lil' Wayne),2008-11-11,58,-0.7709298731790876,-0.09930951043160091,-1.0710050469495207,-0.1569831916357758,1.307977643836105,1.1972142939097898,-0.7219699454083207,-1.5258031440666273,-1.2186800727216054,-0.5326658834536133,-1.113378313253264,0.07684638870544681,-2.0207574541415227,2,study
789,Jordin Sparks,Jordin Sparks,Tattoo,2007-11-20,58,1.334386143834802,-0.6969922675088495,0.4699547069473482,-0.1569831916357758,-0.893703683780952,0.20899194046398184,-0.5460491799809313,0.36527458540554414,0.8205599011451459,-0.6253953746715459,1.7453833149081104,0.07684638870544681,0.05075447919803109,1,positive
790,Conquest,Madcon,Beggin',2009-01-01,58,-0.6404512943054401,0.3759562964009092,0.6541331635884085,-0.1569831916357758,-0.3432833518766878,-0.1524094950380035,-0.807332342134691,0.43779961181629495,-1.2186800727216054,-0.481504784850616,0.3205186252767869,0.07684638870544681,-0.4600775451799203,0,dance
