,album,artist,name,release_date,popularity,acousticness,danceability,energy,instrumentalness,key,length,liveness,loudness,mode,speechiness,tempo,time_signature,valence,class,feels
1800,Shower,Becky G,Shower,2014-04-23,73,-0.6242641021895365,0.26074034322939144,-0.985055100517026,-0.15653916372717597,-0.893703683780952,-0.45945380406204794,0.8197491676409938,-0.8740646414230745,0.8205599011451459,-0.5316000272327175,-0.010529752375782537,0.07684638870544681,-1.825232093086514,2,study
1801,Frozen (Original Motion Picture Soundtrack / Deluxe Edition),Various Artists,"Let It Go - From ""Frozen""/Soundtrack Version",2013-01-01,73,1.957347779810487,-0.8626152001929056,-1.255183503590581,-0.1569831916357758,0.7575573119318407,-0.02670251875973841,-0.4050156549547543,-0.5296941078536572,0.8205599011451459,-0.7255858594357489,0.6101722427942959,0.07684638870544681,-0.7243010060650674,2,study
1802,Jealous - EP,Labrinth,Jealous,2014-11-23,73,3.5073940551515608,-1.6115188958077709,-3.293425090418312,-0.1569831916357758,-1.1689138497330842,1.536750452860063,-0.5015122773410859,-1.5657659137215307,0.8205599011451459,-0.5401268769998837,-0.12853407300815173,-4.625321828298076,-1.9000954070039724,2,study
1803,It's About Us,Alex & Sierra,Little Do You Know,2014-10-06,72,2.879527209443784,-1.1722580743413598,-2.4400649079814007,-0.1569831916357758,-1.4441240156852164,-0.972810341781196,0.09973590829682685,-1.3703923731864465,0.8205599011451459,-0.7064004474596249,0.9362839661904748,0.07684638870544681,-0.7287047304131532,2,study
1804,Talking Dreams (Deluxe Edition),Echosmith,Cool Kids,2013-10-04,71,-0.5972854486630305,0.40476028469378866,-0.1132770724160084,-0.1568816465346726,0.7575573119318407,0.31085033962985303,-0.4050156549547543,-0.24798125016291647,0.8205599011451459,-0.6925443165879799,0.3566110530623921,0.07684638870544681,1.103244598390534,1,positive
1805,No Sound Without Silence,The Script,Superheroes,2014-09-15,71,-0.7690658934808926,-1.2442680450735584,1.200529251623553,-0.1569831916357758,-0.6184935178288199,0.5028142457501488,-0.7457229601495715,0.8167058722479743,0.8205599011451459,-0.6285929433342332,1.7084863953177603,0.07684638870544681,0.46030084357000906,1,positive
1806,X (Expanded Edition),Chris Brown,Loyal (feat. Lil Wayne & Tyga),2014-09-16,71,-0.6973517271977074,1.2832819276266112,-1.0280300737332735,-0.15696624683814953,1.307977643836105,0.9797857879980264,0.09973590829682685,-0.09207711175613176,-1.2186800727216054,-0.5284024585700302,-0.7758208655441216,0.07684638870544681,0.3546114592159501,0,dance
1807,Motion,Calvin Harris,Under Control (feat. Hurts),2014-10-31,71,-0.14698719525698423,-0.8554142031196857,1.384707708264613,-0.14567841424134056,0.7575573119318407,-0.9953367185198021,-0.4421297404879587,1.1699570212962591,0.8205599011451459,-0.15428692503561248,0.21278985905956946,0.07684638870544681,-0.11218332168114314,1,positive
1808,1989,Taylor Swift,Shake It Off,2014-10-27,71,-0.5045769847264916,-0.11371150457804063,0.5866010628200197,-0.1569831916357758,0.4823471459797086,-0.1403138101370563,-0.19717677596880914,0.1787816603493268,0.8205599011451459,0.7079907576690714,1.4532065185484468,0.07684638870544681,1.794629321040002,1,positive
1809,My Everything (Deluxe),Ariana Grande,Problem,2014-08-25,73,-0.6855792238406867,-0.020098542626182422,0.7093867005807265,-0.1568739780861118,-1.1689138497330842,-0.7592994666065813,-0.11552578779575919,0.20937044699875898,-1.2186800727216054,0.580088011161578,-0.6314145865923932,0.07684638870544681,0.3942449783487222,0,dance
1810,Sadnecessary,Milky Chance,Stolen Dance,2014-06-20,71,1.3147653049064338,1.600125798848285,-0.665812442339189,-0.15446002468997186,1.5831878097882373,2.1731450809177932,-0.7323618893576179,-1.4981745625768177,0.8205599011451459,-0.6477783553103572,-0.22887614174543777,0.07684638870544681,0.8478285862015581,2,study
1811,Prayer in C,Lilly Wood and The Prick,Prayer in C - Robin Schulz Radio Edit,2014-05-16,71,-0.662034217126645,0.7216041559154627,1.1391364327431996,-0.1569162782378503,1.0327674778839728,-0.8696542274336442,3.150513739126236,-0.01017810233990919,-1.2186800727216054,-0.7714176769342673,0.1001244385859626,0.07684638870544681,1.164896739263735,0,dance
1812,Is There Anybody Out There?,A Great Big World,Say Something,2014-01-20,71,3.424005489705997,-1.8419508021508064,-3.330260781746524,-0.1569474467707102,-0.893703683780952,0.1094351493561856,-0.618050505915348,-1.5026148703162507,0.8205599011451459,-0.6722930483909603,0.7682548824266886,-4.625321828298076,-2.0211978265763313,2,study
1813,BEYONCÉ [Platinum Edition],Beyoncé,Drunk in Love (feat. Jay-Z),2014-11-24,70,-0.7320806121009188,-0.5745753172641118,-0.4202411668177754,-0.14387261828993186,-0.06807318592455565,2.413002022799734,0.04777618855034052,-0.5553492192370524,-1.2186800727216054,-0.5401268769998837,0.7226182564120632,0.07684638870544681,-0.6009967243186654,0,dance
1814,Paramore,Paramore,Ain't It Fun,2013-04-05,70,-0.02435695195468409,-0.38014839628717556,1.2496435067278358,-0.156437742310727,1.0327674778839728,1.752881243590146,-1.1398745485122033,1.0337875839536244,0.8205599011451459,-0.06901842736395021,-0.5940057176717501,0.07684638870544681,0.6056237470568401,1,positive
1815,Late Nights: The Album,Jeremih,Don't Tell 'Em,2015-12-04,70,1.1430829642832137,1.3912968837249091,-0.9973336642930967,-0.1569831916357758,-0.893703683780952,1.0261607418490264,-0.4792438260211632,0.27202812287743544,0.8205599011451459,0.011986645424128806,-0.8126446495158585,0.07684638870544681,-0.6582451408437806,2,study
1816,Queen Of The Clouds,Tove Lo,Habits (Stay High),2014-01-01,70,-0.43541352750399426,0.47677025542598733,-0.24220199206475054,-0.15615574129913715,-0.06807318592455565,-0.3861451388931493,-0.6804021696111315,1.1038457727313566,0.8205599011451459,-0.7170590096685827,-0.3750011077345763,0.07684638870544681,-0.8299903904191264,1,positive
1817,Ghost Stories,Coldplay,Magic,2014-05-19,70,-0.6492806718232057,0.541579229084966,-1.273601349254687,7.523833834561451,0.2071369800275765,1.4711546232049262,-0.5089350944477269,-1.5494847853436071,-1.2186800727216054,-0.6221978060088585,-0.9806737332796452,0.07684638870544681,-0.8079717686786975,2,study
1818,My Love (feat. Jess Glynne),Route 94,My Love (feat. Jess Glynne),2014-02-28,70,-0.7791117630122171,1.088855006649675,-0.41410188492974004,8.748311911201588,0.7575573119318407,0.8570660051568374,-0.807332342134691,-0.8863988295881684,0.8205599011451459,-0.5262707461282387,-0.010931998278154881,0.07684638870544681,0.8390211375053865,1,positive
1819,Aquarius,Tinashe,2 On (feat. ScHoolboy Q),2014-10-01,70,-0.043977790883052134,0.5703832173778455,-0.5798624959066943,-0.1569831916357758,1.0327674778839728,0.050670688298952216,-0.47182100891452233,-0.8553166754121319,0.8205599011451459,0.08979414954952054,-0.7043673661590423,0.07684638870544681,-0.4600775451799203,1,positive
